,trace_id,domain,arg_1_id,arg_2_id,first_index
0,50OkWutbBlKsEJPMGbKu-gameplay-attempt-1-rerecorded,few,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,77
1,50OkWutbBlKsEJPMGbKu-preCreateGame-rerecorded,few,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,106
2,5DOVQT0dE9jCRwYHvIx6-createGame-rerecorded,few,GarbageCan|+00.95|-00.03|-02.68,Desk|+03.14|00.00|-01.41,427
3,730QTwZ02OR88CPpsmSI-preCreateGame-rerecorded,medium,TeddyBear|-02.60|+00.60|-00.42,Bed|-02.46|00.00|-00.57,4772
4,9ntGYoDdUca5ZsjyHXdm-gameplay-attempt-1-rerecorded,many,CurvedRamp|-00.25|00.00|-02.98,Bed|-02.46|00.00|-00.57,1474
5,9ntGYoDdUca5ZsjyHXdm-gameplay-attempt-1-rerecorded,many,building_2,Bed|-02.46|00.00|-00.57,1847
6,9ntGYoDdUca5ZsjyHXdm-gameplay-attempt-1-rerecorded,many,building_4,Bed|-02.46|00.00|-00.57,2029
7,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,576
8,IhOkh1l3TBY9JJVubzHx-gameplay-attempt-1-rerecorded,many,Beachball|+02.29|+00.19|-02.88,Desk|+03.14|00.00|-01.41,3409
9,IjyNuz4ApTldgPuoKPtB-gameplay-attempt-1-rerecorded,medium,Chair|+02.73|00.00|-01.21,Bed|-02.46|00.00|-00.57,45
10,JNLBQW5TcsbOY86oNd2A-preCreateGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Desk|+03.14|00.00|-01.41,4595
11,JNLBQW5TcsbOY86oNd2A-preCreateGame-rerecorded,medium,building_1,Desk|+03.14|00.00|-01.41,4603
12,JNLBQW5TcsbOY86oNd2A-preCreateGame-rerecorded,medium,SmallSlide|-00.97|+00.20|-03.02,Desk|+03.14|00.00|-01.41,4595
13,OkKMZ7MxTSxfxQoPDZQK-gameplay-attempt-1-rerecorded,few,Chair|+02.83|00.00|00.00,Bed|-02.46|00.00|-00.57,531
14,OkKMZ7MxTSxfxQoPDZQK-gameplay-attempt-1-rerecorded,few,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,433
15,Q6a8AbiIdcLA9tJzAu14-createGame-rerecorded,many,SmallSlide|-00.81|+00.14|-03.10,Bed|-02.46|00.00|-00.57,532
16,Q6a8AbiIdcLA9tJzAu14-createGame-rerecorded,many,SmallSlide|-00.81|+00.14|-03.10,Bed|-02.46|00.00|-00.57,532
17,Q6a8AbiIdcLA9tJzAu14-gameplay-attempt-1-rerecorded,many,SmallSlide|-00.81|+00.14|-03.10,Bed|-02.46|00.00|-00.57,1189
18,Q6a8AbiIdcLA9tJzAu14-gameplay-attempt-1-rerecorded,many,SmallSlide|-00.81|+00.14|-03.10,Bed|-02.46|00.00|-00.57,1189
19,TSeBHnKzO96Vswy4B1rh-preCreateGame-rerecorded,many,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,3317
20,cdo6CztpMH0It12THBAy-gameplay-attempt-2-rerecorded,many,GarbageCan|+00.75|-00.03|-02.74,Desk|+03.14|00.00|-01.41,974
21,ktwB7wT09sh4ivNme3Dw-preCreateGame-rerecorded,medium,Beachball|-02.93|+00.17|-01.99,Desk|+03.14|00.00|-01.41,6247
